CNPJ,CNAE_PRINCIPAL,DESC_PRINCIPAL,CNAE_SEC_1,DESC_SEC_1,CNAE_SEC_2,DESC_SEC_2,STATUS
16928871000614,4771702.0,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",4721104.0,"Comércio varejista de doces, balas, bombons e semelhantes",4723700.0,Comércio varejista de bebidas,OK
61653637000171,7020400.0,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",8299799.0,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,,,OK
04905427000190,9511800.0,Reparação e manutenção de computadores e de equipamentos periféricos,3314709.0,"Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório",6209100.0,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",OK
30957998000188,8599604.0,Treinamento em desenvolvimento profissional e gerencial,6201502.0,Web design,7020400.0,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",OK
01563351000173,4661300.0,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",3314712.0,Manutenção e reparação de tratores agrícolas,3314717.0,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",OK
09545681000148,899199,Extração de outros minerais não-metálicos não especificados anteriormente,891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",2330302,Fabricação de artefatos de cimento para uso na construção,OK
33438250055492,4771701,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",4729602,Comércio varejista de mercadorias em lojas de conveniência,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",OK
08263434000196,2831300,"Fabricação de tratores agrícolas, peças e acessórios",2811900,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",7119799,Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente,OK
27865757006992,6319400,"Portais, provedores de conteúdo e outros serviços de informação na internet",,,,,OK
18209965000235,4511103,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",,,,,OK
03505970000137,4771701,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",4773300,Comércio varejista de artigos médicos e ortopédicos,OK
00005572394602,,,,,,,HTTP_400
27567435000179,210108.0,Produção de carvão vegetal - florestas plantadas,161003.0,"Serviço de preparação de terreno, cultivo e colheita",210107.0,Extração de madeira em florestas plantadas,OK
02490073000134,2330305.0,Preparação de massa de concreto e argamassa para construção,4399199.0,Serviços especializados para construção não especificados anteriormente,,,OK
17721133000150,7112000.0,Serviços de engenharia,4213800.0,"Obras de urbanização - ruas, praças e calçadas",4313400.0,Obras de terraplenagem,OK
04711635000158,8121400.0,Limpeza em prédios e em domicílios,3314710.0,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,3811400.0,Coleta de resíduos não-perigosos,OK
28081122000179,7112000.0,Serviços de engenharia,4120400.0,Construção de edifícios,4322301.0,"Instalações hidráulicas, sanitárias e de gás",OK
00001348107677,,,,,,,HTTP_400
31671843000143,4313400.0,Obras de terraplenagem,4120400.0,Construção de edifícios,4213800.0,"Obras de urbanização - ruas, praças e calçadas",OK
37846673000177,2330305.0,Preparação de massa de concreto e argamassa para construção,,,,,OK
36609621000548,8299799.0,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,6204000.0,Consultoria em tecnologia da informação,6319400.0,"Portais, provedores de conteúdo e outros serviços de informação na internet",OK
46353182000185,4399103.0,Obras de alvenaria,161099.0,Atividades de apoio à agricultura não especificadas anteriormente,3702900.0,"Atividades relacionadas a esgoto, exceto a gestão de redes",OK
02859553000120,2330302.0,Fabricação de artefatos de cimento para uso na construção,2330305.0,Preparação de massa de concreto e argamassa para construção,,,OK
14262033000467,7733100.0,Aluguel de máquinas e equipamentos para escritórios,6202300.0,Desenvolvimento e licenciamento de programas de computador customizáveis,7729202.0,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",OK
11447344000160,161003.0,"Serviço de preparação de terreno, cultivo e colheita",163600.0,Atividades de pós-colheita,3314717.0,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",OK
00006412330607,,,,,,,HTTP_400
00007749828613,,,,,,,HTTP_400
00012308970626,,,,,,,HTTP_400
18128280000183,8411600.0,Administração pública em geral,,,,,OK
18025965000102,8411600.0,Administração pública em geral,,,,,OK
18338186000159,8411600.0,Administração pública em geral,,,,,OK
18132449000179,8411600.0,Administração pública em geral,,,,,OK
00009907557625,,,,,,,HTTP_400
00012874650137,,,,,,,HTTP_400
57080262000120,4930202.0,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4313400.0,Obras de terraplenagem,4783101.0,Comércio varejista de artigos de joalheria,OK
10277013000166,3811400.0,Coleta de resíduos não-perigosos,161099.0,Atividades de apoio à agricultura não especificadas anteriormente,230600.0,Atividades de apoio à produção florestal,OK
71357016000102,4930202.0,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3101200.0,Fabricação de móveis com predominância de madeira,4530701.0,Comércio por atacado de peças e acessórios novos para veículos automotores,OK
